"","id","name","popularity","followers.total","genres","type","total_num_songs"
"172","2uDoQjE6g8IKzcggeyWpTI","Robin M Christopher",30,43,NA,"non_billboard",NA
"173","3PDJbSOVozagEQ5LfARhou","Chus L. Esteban",17,37,NA,"non_billboard",NA
"174","55DQwkZ5t8aCiJGij8efxx","J. Pablo Ceballos",5,1,NA,"non_billboard",NA
"175","0l59CBSPDfKBXlyHya0pew","Gregor Salto",56,32872,"electro house;latin house","non_billboard",NA
"176","11chB4Th19iMA7j65oGMk1","Funkin Matt",52,23842,"electro house","non_billboard",NA
"177","0wdJLXOsumdagGc5UCbngx","Dijon DJ Mustard Mcfarlane",14,1656,NA,"non_billboard",NA
"178","4gLtl0OFbjvclM6moSfV2w","Dijon ""DJ Mustard"" McFarlane",2,8,NA,"non_billboard",NA
"179","53cQZtWDwDJwVCNZlfJ6Qk","Laidback Luke",66,369901,"big room;dance pop;dutch edm;dutch house;edm;electro house;house;pop dance;pop edm;progressive electro house;progressive house;tropical house","non_billboard",NA
"180","0fI7XTbV15bFnDfievQtmD","Josh Abraham",21,612,NA,"non_billboard",NA
"181","1FR7xzV2leZ9lE9Ykqelyv","Oligee",9,24,NA,"non_billboard",NA
"182","2MOItYWcmLgA2E2OrjK759","U-Tern",14,325,"nu disco","non_billboard",NA
"183","7kxOVclB0zQamtBR0syCrg","DJ Chus",41,12138,"afro house;deep house;disco house;funky tech house;tribal house;vocal house","non_billboard",NA
"184","4PfnYN4AwskT2RgGn4OwCR","Abel Ramos",35,5982,NA,"non_billboard",NA
"185","5kA0fIY29Fnfu4U2I2xvki","David Penn",57,31075,"deep house;disco house;funky house;funky tech house;house;vocal house","non_billboard",NA
"186","1tE6TRk3wz1oeI1gRNTokr","Danny Verde",26,944,NA,"non_billboard",NA
"187","0ElFqgRJ2ntCvvdWNyXUBh","Johnny Vicious",28,1609,"vocal house","non_billboard",NA
"188","1bv1C5NzkH34xckFslN4VW","Chriss Ortega",16,170,"deep uplifting trance;progressive electro house","non_billboard",NA
"189","6XdUl9SNdiDBbZhZ1B9ubn","Chew Fu",38,2579,NA,"non_billboard",NA
"190","5Cyg2n05OXcCsevnr4vKed","Nu Addiction",4,4,NA,"non_billboard",NA
"191","7vJmvOgkkD19swTLUZLIRf","Subkulcha",9,6,NA,"non_billboard",NA
"192","7I6gLWts7TQE7CWkZtHFbu","Jody Den Broeder",39,403,NA,"non_billboard",NA
"193","1P8IfcNKwrkQP5xJWuhaOC","LL Cool J",67,1249175,"east coast hip hop;golden age hip hop;hardcore hip hop;hip hop;hip pop;old school hip hop;pop rap;queens hip hop;rap;southern hip hop;urban contemporary","non_billboard",NA
"194","1W3FSF1BLpY3hlVIgvenLz","The-Dream",69,1040392,"dance pop;hip hop;hip pop;r&b;southern hip hop;trap;urban contemporary","non_billboard",NA
"195","1D0HCkTn8kMeaex8CvbWll","Craig Christensen",8,10,NA,"non_billboard",NA
"196","6Uh8uJyN9g7oFjDK16nJgb","Juelz Santana",67,636623,"gangster rap;harlem hip hop;hip hop;nyc rap;pop rap;rap;trap","non_billboard",NA
"197","2TwODcYTevGzikxlUay7i7","Diplomat",12,52,NA,"non_billboard",NA
"198","4GMgdB3vwbBOc42hbXEi9p","N.O.R.E.",58,314971,"gangster rap;hardcore hip hop;hip hop;hip pop;pop rap;queens hip hop;rap;southern hip hop","non_billboard",NA
